name,thumbnail
Rachel Grey,"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/d/10/52741143108e7', 'extension': 'jpg'}"
Radioactive Man,"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/3/00/4c003c66d3393', 'extension': 'jpg'}"
Rafael Vega,"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available', 'extension': 'jpg'}"
Rage,"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/6/20/4c0035e72e3d8', 'extension': 'jpg'}"
Raider,"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available', 'extension': 'jpg'}"
Randall,"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available', 'extension': 'jpg'}"
Randall Flagg,"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/8/d0/4ce5a67201a4e', 'extension': 'jpg'}"
Random,"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/5/c0/4c00375b36bd4', 'extension': 'jpg'}"
Rattler,"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available', 'extension': 'jpg'}"
Ravenous,"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available', 'extension': 'jpg'}"
Rawhide Kid,"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/1/90/4ce5a3e0dbd3a', 'extension': 'jpg'}"
Raza,"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/c/70/4ce5a1057fce9', 'extension': 'jpg'}"
Reaper,"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available', 'extension': 'jpg'}"
Reavers,"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/b/c0/4c003c63deac8', 'extension': 'jpg'}"
Reavers (Ultimate),"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available', 'extension': 'jpg'}"
Red 9,"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available', 'extension': 'jpg'}"
Red Ghost,"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/7/10/535ff3cd59285', 'extension': 'jpg'}"
Red Ghost (Ultimate),"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available', 'extension': 'jpg'}"
Red Guardian (Alexei Shostakov),"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available', 'extension': 'jpg'}"
Red Hulk,"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/5/90/5102cb7fc1262', 'extension': 'jpg'}"
Red Hulk (HAS),"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/2/a0/523214eac3705', 'extension': 'jpg'}"
Red She-Hulk,"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/e/70/50fec0bfb125a', 'extension': 'jpg'}"
Red Shift,"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available', 'extension': 'jpg'}"
Red Skull,"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/2/03/526036550cd37', 'extension': 'jpg'}"
Red Skull (Albert Malik),"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available', 'extension': 'jpg'}"
Red Wolf,"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available', 'extension': 'jpg'}"
Redwing,"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/6/70/4ce5a7383561c', 'extension': 'jpg'}"
Reptil,"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/c/00/4ce5a6ff4202c', 'extension': 'jpg'}"
Retro Girl,"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available', 'extension': 'jpg'}"
Revanche,"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/f/60/4c002e0305708', 'extension': 'gif'}"
Rhino,"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/8/60/4c003c58f1a0c', 'extension': 'jpg'}"
Rhodey,"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available', 'extension': 'jpg'}"
Richard Fisk,"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available', 'extension': 'jpg'}"
Rick Jones,"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/2/e0/5274112b036ff', 'extension': 'jpg'}"
Rick Jones (Ultimate),"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available', 'extension': 'jpg'}"
Ricochet,"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available', 'extension': 'jpg'}"
Rictor,"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/3/03/527414130f76d', 'extension': 'jpg'}"
Riptide,"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available', 'extension': 'jpg'}"
Risque,"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/5/f0/4c7c645aa1623', 'extension': 'jpg'}"
